CIS.NO,Subject,Description,Current Settings,Status,Remediation
5.1.3.3,Ensure 'ALL' Is Revoked on 'Sensitive' Tables (Scored),"The Oracle database tables listed below may contain sensitive information, and should not be accessible to unauthorized users. • USER$, USER_HISTORY$, XS$VERIFIERS and DEFAULT_PWD$ may contain password hashes. • CDB_LOCAL_ADMINAUTH$ and PDB_SYNC$ may contain DDLs. • LINK$ and SCHEDULER$_CREDENTIAL may contain encrypted passwords. • ENC$ may contains encryption keys. • HISTGRM$ and HIST_HEAD$ may contain sensitive data.",Results are null or empty,PASS,
5.2.1,Ensure '%ANY%' Is Revoked from Unauthorized 'GRANTEE' (Scored),The Oracle database ANY keyword provides the user the capability to alter any item in the catalog of the database. Unauthorized grantees should not have that keyword assigned to them.,Results are null or empty,PASS,
5.2.2,Ensure 'DBA_SYS_PRIVS.%' Is Revoked from Unauthorized 'GRANTEE' with 'ADMIN_OPTION' Set to 'YES' (Scored),The Oracle database WITH_ADMIN privilege allows the designated user to grant another user the same privileges. Unauthorized grantees should not have that privilege.,Results are null or empty,PASS,
5.2.3,Ensure 'EXECUTE ANY PROCEDURE' Is Revoked from 'OUTLN' (Scored),Remove unneeded EXECUTE ANY PROCEDURE privileges from OUTLN.,Results are null or empty,PASS,
5.2.4,Ensure 'EXECUTE ANY PROCEDURE' Is Revoked from 'DBSNMP' (Scored),Remove unneeded EXECUTE ANY PROCEDURE privileges from DBSNMP.,Results are null or empty,PASS,
5.2.5,Ensure 'SELECT ANY DICTIONARY' Is Revoked from Unauthorized 'GRANTEE' (Scored),The Oracle database SELECT ANY DICTIONARY privilege allows the designated user to access SYS schema objects. Unauthorized grantees should not have that privilege.,Results are null or empty,PASS,
5.2.6,Ensure 'SELECT ANY TABLE' Is Revoked from Unauthorized 'GRANTEE' (Scored),"The Oracle database SELECT ANY TABLE privilege allows the designated user to open any table, except SYS, to view it. Unauthorized grantees should not have that privilege.",Results are null or empty,PASS,
5.2.7,Ensure 'AUDIT SYSTEM' Is Revoked from Unauthorized 'GRANTEE' (Scored),The Oracle database AUDIT SYSTEM privilege allows changes to auditing activities on the system. Unauthorized grantees should not have that privilege.,Results are null or empty,PASS,
5.2.8,Ensure 'EXEMPT ACCESS POLICY' Is Revoked from Unauthorized 'GRANTEE' (Scored),The Oracle database EXEMPT ACCESS POLICY keyword provides the user the capability to access all the table rows regardless of row-level security lockouts. Unauthorized grantees should not have that keyword assigned to them.,Results are null or empty,PASS,
5.2.9,Ensure 'BECOME USER' Is Revoked from Unauthorized 'GRANTEE' (Scored),The Oracle database BECOME USER privilege allows the designated user to inherit the rights of another user. Unauthorized grantees should not have that privilege.,Results are null or empty,PASS,
5.2.10,Ensure 'CREATE PROCEDURE' Is Revoked from Unauthorized 'GRANTEE' (Scored),The Oracle database CREATE PROCEDURE privilege allows the designated user to create a stored procedure that will fire when given the correct command sequence. Unauthorized grantees should not have that privilege.,Results are null or empty,PASS,
5.2.11,Ensure 'ALTER SYSTEM' Is Revoked from Unauthorized 'GRANTEE' (Scored),The Oracle database ALTER SYSTEM privilege allows the designated user to dynamically alter the instance's running operations. Unauthorized grantees should not have that privilege.,Results are null or empty,PASS,
5.2.12,Ensure 'CREATE ANY LIBRARY' Is Revoked from Unauthorized 'GRANTEE' (Scored),The Oracle database CREATE ANY LIBRARY privilege allows the designated user to create objects that are associated to the shared libraries. Unauthorized grantees should not have that privilege.,Results are null or empty,PASS,
5.2.13,Ensure 'CREATE LIBRARY' Is Revoked from Unauthorized 'GRANTEE' (Scored),The Oracle database CREATE LIBRARY privilege allows the designated user to create objects that are associated to the shared libraries. Unauthorized grantees should not have that privilege.,Results are null or empty,PASS,
5.2.14,Ensure 'GRANT ANY OBJECT PRIVILEGE' Is Revoked from Unauthorized 'GRANTEE' (Scored),The Oracle database GRANT ANY OBJECT PRIVILEGE keyword provides the grantee the capability to grant access to any single or multiple combinations of objects to any grantee in the catalog of the database. Unauthorized grantees should not have that keyword assigned to them.,Results are null or empty,PASS,
5.2.15,Ensure 'GRANT ANY ROLE' Is Revoked from Unauthorized 'GRANTEE' (Scored),The Oracle database GRANT ANY ROLE keyword provides the grantee the capability to grant any single role to any grantee in the catalog of the database. Unauthorized grantees should not have that keyword assigned to them.,Results are null or empty,PASS,
5.2.16,Ensure 'GRANT ANY PRIVILEGE' Is Revoked from Unauthorized 'GRANTEE' (Scored),The Oracle database GRANT ANY PRIVILEGE keyword provides the grantee the capability to grant any single privilege to any item in the catalog of the database. Unauthorized grantees should not have that privilege.,Results are null or empty,PASS,
5.3.1,Ensure 'DELETE_CATALOG_ROLE' Is Revoked from Unauthorized 'GRANTEE' (Scored),THIS ROLE IS DEPRECATED IN V12. The Oracle database DELETE_CATALOG_ROLE provides DELETE privileges for the records in the system's audit table (AUD$). Unauthorized grantees should not have that role.,Results are null or empty,PASS,
5.3.2,Ensure 'SELECT_CATALOG_ROLE' Is Revoked from Unauthorized 'GRANTEE' (Scored),The Oracle database SELECT_CATALOG_ROLE provides SELECT privileges on all data dictionary views held in the SYS schema. Unauthorized grantees should not have that role.,Results are null or empty,PASS,
5.3.3,Ensure 'EXECUTE_CATALOG_ROLE' Is Revoked from Unauthorized 'GRANTEE' (Scored),The Oracle database EXECUTE_CATALOG_ROLE provides EXECUTE privileges for a number of packages and procedures in the data dictionary in the SYS schema. Unauthorized grantees should not have that role.,Results are null or empty,PASS,
5.3.4,Ensure 'DBA' Is Revoked from Unauthorized 'GRANTEE' (Scored),The Oracle database DBA role is the default database administrator role provided for the allocation of administrative privileges. Unauthorized grantees should not have that role.,Results are null or empty,PASS,
6.1.1,Ensure the 'USER' Audit Option Is Enabled (Scored),"The USER object allows for creating accounts that can interact with the database according to the roles and privileges allotted to the account. It may also own database objects. Enabling the audit option causes auditing of all activities and requests to create, drop or alter a user, including a user changing their own password. (The latter is not audited by audit ALTER USER.)",Results are null or empty,PASS,
6.1.2,Ensure the 'ROLE' Audit Option Is Enabled (Scored),"The ROLE object allows for the creation of a set of privileges that can be granted to users or other roles. Enabling the audit option causes auditing of all attempts, successful or not, to create, drop, alter or set roles.",No results found,FAIL,"To remediate this setting, execute the following SQL statement in either the non multi tenant or container database, it does NOT need run in the pluggable. 

AUDIT ROLE;"
6.1.3,Ensure the 'SYSTEM GRANT' Audit Option Is Enabled (Scored),"Enabling the audit option for the SYSTEM GRANT object causes auditing of any attempt, successful or not, to grant or revoke any system privilege or role, regardless of privilege held by the user attempting the operation.",No results found,FAIL,"To remediate this setting, execute the following SQL statement in either the non multi tenant or container database, it does NOT need run in the pluggable. 

AUDIT SYSTEM GRANT;"
6.1.4,Ensure the 'PROFILE' Audit Option Is Enabled (Scored),"The PROFILE object allows for the creation of a set of database resource limits that can be assigned to a user, so that that user cannot exceed those resource limitations. Enabling the audit option causes auditing of all attempts, successful or not, to create, drop or alter any profile.",No results found,FAIL,"To remediate this setting, execute the following SQL statement in either the non multi tenant or container database, it does NOT need run in the pluggable. 

AUDIT PROFILE;"
6.1.5,Ensure the 'DATABASE LINK' Audit Option Is Enabled (Scored),Enabling the audit option for the DATABASE LINK object causes all activities on database links to be audited.,No results found,FAIL,"To remediate this setting, execute the following SQL statement in either the non multi tenant or container database, it does NOT need run in the pluggable.

 AUDIT DATABASE LINK;"
6.1.6,Ensure the 'PUBLIC DATABASE LINK' Audit Option Is Enabled (Scored),"The PUBLIC DATABASE LINK object allows for the creation of a public link for an application-based ""user"" to access the database for connections/session creation. Enabling the audit option causes all user activities involving the creation, alteration, or dropping of public links to be audited.",No results found,FAIL,"To remediate this setting, execute the following SQL statement in either the non multi tenant or container database, it does NOT need run in the pluggable. 

AUDIT PUBLIC DATABASE LINK;"
6.1.7,Ensure the 'PUBLIC SYNONYM' Audit Option Is Enabled (Scored),The PUBLIC SYNONYM object allows for the creation of an alternate description of an object. Public synonyms are accessible by all users that have the appropriate privileges to the underlying object. Enabling the audit option causes all user activities involving the creation or dropping of public synonyms to be audited,No results found,FAIL,"To remediate this setting, execute the following SQL statement in either the non multi tenant or container database, it does NOT need run in the pluggable. 

AUDIT PUBLIC SYNONYM;"
6.1.8,Ensure the 'SYNONYM' Audit Option Is Enabled (Scored),"The SYNONYM operation allows for the creation of an alternative name for a database object such as a Java class schema object, materialized view, operator, package, procedure, sequence, stored function, table, view, user-defined object type, or even another synonym. This synonym puts a dependency on its target and is rendered invalid if the target object is changed/dropped. Enabling the audit option causes all user activities involving the creation or dropping of synonyms to be audited.",No results found,FAIL,"To remediate this setting, execute the following SQL statement in either the non multi tenant or container database, it does NOT need run in the pluggable.

 AUDIT SYNONYM;"
6.1.9,Ensure the 'DIRECTORY' Audit Option Is Enabled (Scored),"The DIRECTORY object allows for the creation of a directory object that specifies an alias for a directory on the server file system, where the external binary file LOBs (BFILEs)/ table data are located. Enabling this audit option causes all user activities involving the creation or dropping of a directory alias to be audited.",No results found,FAIL,"To remediate this setting, execute the following SQL statement in either the non multi tenant or container database, it does NOT need run in the pluggable. 

AUDIT DIRECTORY;"
6.1.10,Ensure the 'SELECT ANY DICTIONARY' Audit Option Is Enabled (Scored),The SELECT ANY DICTIONARY capability allows the user to view the definitions of all schema objects in the database. Enabling the audit option causes all user activities involving this capability to be audited.,No results found,FAIL,"To remediate this setting, execute the following SQL statement in either the non multi tenant or container database, it does NOT need run in the pluggable. 

AUDIT SELECT ANY DICTIONARY;"
6.1.11,Ensure the 'GRANT ANY OBJECT PRIVILEGE' Audit Option Is Enabled (Scored),"GRANT ANY OBJECT PRIVILEGE allows the user to grant or revoke any object privilege, which includes privileges on tables, directories, mining models, etc. Enabling this audit option causes auditing of all uses of that privilege.",No results found,FAIL,"To remediate this setting, execute the following SQL statement, keeping in mind if this needs to be done in both container and pluggable database, you must connect to both places to do the audit statement. 

AUDIT GRANT ANY OBJECT PRIVILEGE;"
6.1.12,Ensure the 'GRANT ANY PRIVILEGE' Audit Option Is Enabled (Scored),"GRANT ANY PRIVILEGE allows a user to grant any system privilege, including the most powerful privileges typically available only to administrators - to change the security infrastructure, to drop/add/modify users and more.",No results found,FAIL,"To remediate this setting, execute the following SQL statement in either the non multi tenant or container database, it does NOT need run in the pluggable. 

AUDIT GRANT ANY PRIVILEGE;"
6.1.13,Ensure the 'DROP ANY PROCEDURE' Audit Option Is Enabled (Scored),The AUDIT DROP ANY PROCEDURE command is auditing the dropping of procedures. Enabling the option causes auditing of all such activities.,No results found,FAIL,"To remediate this setting, execute the following SQL statement in either the non multi tenant or container database, it does NOT need run in the pluggable. 

AUDIT DROP ANY PROCEDURE;"
6.1.14,Ensure the 'ALL' Audit Option on 'SYS.AUD$' Is Enabled (Scored),The logging of attempts to alter the audit trail in the SYS.AUD$ table (open for read/update/delete/view) will provide a record of any activities that may indicate unauthorized attempts to access the audit trail. Enabling the audit option will cause these activities to be audited.,No results found,FAIL,"To remediate this setting, execute the following SQL statement in either the non multi tenant or container database, it does NOT need run in the pluggable. 

AUDIT ALL ON SYS.AUD$ BY ACCESS;"
6.1.15,Ensure the 'PROCEDURE' Audit Option Is Enabled (Scored),"In this statement audit, PROCEDURE means any procedure, function, package or library. Enabling this audit option causes any attempt, successful or not, to create or drop any of these types of objects to be audited, regardless of privilege or lack thereof. Java schema objects (sources, classes, and resources) are considered the same as procedures for the purposes of auditing SQL statements.",No results found,FAIL,"To remediate this setting, execute the following SQL statement in either the non multi tenant or container database, it does NOT need run in the pluggable. 

AUDIT PROCEDURE;"
6.1.16,Ensure the 'ALTER SYSTEM' Audit Option Is Enabled (Scored),"ALTER SYSTEM allows one to change instance settings, including security settings and auditing options. Additionally, ALTER SYSTEM can be used to run operating system commands using undocumented Oracle functionality. Enabling the audit option will audit all attempts to perform ALTER SYSTEM, whether successful or not and regardless of whether or not the ALTER SYSTEM privilege is held by the user attempting the action.",No results found,FAIL,"To remediate this setting, execute the following SQL statement in either the non multi tenant or container database, it does NOT need run in the pluggable. 

AUDIT ALTER SYSTEM;"
6.1.17,Ensure the 'TRIGGER' Audit Option Is Enabled (Scored),"A TRIGGER may be used to modify DML actions or invoke other (recursive) actions when some types of user-initiated actions occur. Enabling this audit option will cause auditing of any attempt, successful or not, to create, drop, enable or disable any schema trigger in any schema regardless of privilege or lack thereof. For enabling and disabling a trigger, it covers both ALTER TRIGGER and ALTER TABLE.",No results found,FAIL,"To remediate this setting, execute the following SQL statement in either the non multi tenant or container database, it does NOT need run in the pluggable. 

AUDIT TRIGGER;"
6.1.18,Ensure the 'CREATE SESSION' Audit Option Is Enabled (Scored),"Enabling this audit option will cause auditing of all attempts to connect to the database, whether successful or not, as well as audit session disconnects/logoffs. The commands to audit SESSION, CONNECT or CREATE SESSION all accomplish the same thing - they initiate statement auditing of the connect statement used to create a database session.",No results found,FAIL,"To remediate this setting, execute the following SQL statement in either the non multi tenant or container database, it does NOT need run in the pluggable. 

AUDIT SESSION;"
6.2.1,Ensure the 'CREATE USER' Action Audit Is Enabled (Scored),"The CREATE USER statement is used to create Oracle database accounts and assign database properties to them. Enabling this unified action audit causes logging of all CREATE USER statements, whether successful or unsuccessful, issued by the users regardless of the privileges held by the users to issue such statements.",No results found,FAIL,"Execute the following SQL statement to remediate this setting.  
ALTER AUDIT POLICY CIS_UNIFIED_AUDIT_POLICY ADD ACTIONS  CREATE USER;"
6.2.2,Ensure the 'ALTER USER' Action Audit Is Enabled (Scored),"The ALTER USER statement is used to change database users’ password, lock accounts, and expire passwords. In addition, this statement is used to change database properties of user accounts such as database profiles, default and temporary tablespaces, and tablespace quotas. This unified audit action enables logging of all ALTER USER statements, whether successful or unsuccessful, issued by the users regardless of the privileges held by the users to issue such statements.",No results found,FAIL,"Execute the following SQL statement to remediate this setting. 
ALTER AUDIT POLICY CIS_UNIFIED_AUDIT_POLICY ADD ACTIONS ALTER USER;

Note: If you do not have CIS_UNIFIED_AUDIT_POLICY, please create one using the

 CREATE AUDIT POLICY statement."
6.2.3,Ensure the 'DROP USER' Audit Option Is Enabled (Scored),"The DROP USER statement is used to drop Oracle database accounts and schemas associated with them. Enabling this unified action audit enables logging of all DROP USER statements, whether successful or unsuccessful, issued by the users regardless of the privileges held by the users to issue such statements.",No results found,FAIL,"Execute the following SQL statement to remediate this setting. 

ALTER AUDIT POLICY CIS_UNIFIED_AUDIT_POLICY ADD ACTIONS DROP USER;

Note: If you do not have CIS_UNIFIED_AUDIT_POLICY, please create one using the

 CREATE AUDIT POLICY statement."
6.2.4,Ensure the 'CREATE ROLE' Action Audit Is Enabled (Scored),"An Oracle database role is a collection or set of privileges that can be granted to users or other roles. Roles may include system privileges, object privileges or other roles. Enabling this unified audit action enables logging of all CREATE ROLE statements, whether successful or unsuccessful, issued by the users regardless of the privileges held by the users to issue such statements.",No results found,FAIL,"Execute the following SQL statement to remediate this setting. 
ALTER AUDIT POLICY CIS_UNIFIED_AUDIT_POLICY ADD ACTIONS CREATE ROLE;

Note: If you do not have CIS_UNIFIED_AUDIT_POLICY, please create one using the CREATE AUDIT POLICY statement."
6.2.5,Ensure the 'ALTER ROLE' Action Audit Is Enabled (Scored),"An Oracle database role is a collection or set of privileges that can be granted to users or other roles. Roles may include system privileges, object privileges or other roles. The ALTER ROLE statement is used to change the authorization needed to enable a role. Enabling this unified action audit causes logging of all ALTER ROLE statements, whether successful or unsuccessful, issued by the users regardless of the privileges held by the users to issue such statements.",No results found,FAIL,"Execute the following SQL statement to remediate this setting. ALTER AUDIT POLICY CIS_UNIFIED_AUDIT_POLICY ADD ACTIONS ALTER ROLE;Note: If you do not have CIS_UNIFIED_AUDIT_POLICY, please create one using the CREATE AUDIT POLICY statement."
6.2.6,Ensure the 'DROP ROLE' Action Audit Is Enabled (Scored),"An Oracle database role is a collection or set of privileges that can be granted to users or other roles. Roles may include system privileges, object privileges or other roles. Enabling this unified audit action enables logging of all DROP ROLE statements, successful or unsuccessful, issued by the users regardless of the privileges held by the users to issue such statements.",No results found,FAIL,"Execute the following SQL statement to remediate this setting. 
ALTER AUDIT POLICY CIS_UNIFIED_AUDIT_POLICY ADD ACTIONS DROP ROLE;

Note: If you do not have CIS_UNIFIED_AUDIT_POLICY, please create one using the CREATE AUDIT POLICY statement"
6.2.7,Ensure the 'GRANT' Action Audit Is Enabled (Scored),"GRANT statements are used to grant privileges to Oracle database users and roles, including the most powerful privileges and roles typically available to the database administrators. Enabling this unified action audit enables logging of all GRANT statements, whether successful or unsuccessful, issued by the users regardless of the privileges held by the users to issue such statements.",No results found,FAIL,"Execute the following SQL statement to remediate this setting.

ALTER AUDIT POLICY CIS_UNIFIED_AUDIT_POLICY ADD ACTIONS GRANT; 

Note: If you do not have CIS_UNIFIED_AUDIT_POLICY, please create one using the CREATE AUDIT POLICY statement."
6.2.8,Ensure the 'REVOKE' Action Audit Is Enabled (Scored),"REVOKE statements are used to revoke privileges from Oracle database users and roles. Enabling this unified action audit enables logging of all REVOKE statements, successful or unsuccessful, issued by the users regardless of the privileges held by the users to issue such statements.",No results found,FAIL,"Execute the following SQL statement to remediate this setting.

ALTER AUDIT POLICY CIS_UNIFIED_AUDIT_POLICY ADD ACTIONS REVOKE;

Note: If you do not have CIS_UNIFIED_AUDIT_POLICY, please create one using the CREATE AUDIT POLICY statement."
6.2.9,Ensure the 'CREATE PROFILE' Action Audit Is Enabled (Scored),"Oracle database profiles are used to enforce resource usage limits and implement password policies such as password complexity rules and reuse restrictions. Enabling this unified action audit enables logging of all CREATE PROFILE statements, whether successful or unsuccessful, issued by the users regardless of the privileges held by the users to issue such statements.",No results found,FAIL,"Execute the following SQL statement to remediate this setting. 

ALTER AUDIT POLICY CIS_UNIFIED_AUDIT_POLICY ADD ACTIONS CREATE PROFILE;

Note: If you do not have CIS_UNIFIED_AUDIT_POLICY, please create one using the CREATE AUDIT POLICY statement."
6.2.10,Ensure the 'ALTER PROFILE' Action Audit Is Enabled (Scored),"Oracle database profiles are used to enforce resource usage limits and implement password policies such as password complexity rules and reuse restrictions. Enabling this unified action audit enables logging of all ALTER PROFILE statements, whether successful or unsuccessful, issued by the users regardless of the privileges held by the users to issue such statements.",No results found,FAIL,"Execute the following SQL statement to remediate this setting. 

ALTER AUDIT POLICY CIS_UNIFIED_AUDIT_POLICY ADD ACTIONS ALTER PROFILE;

Note: If you do not have CIS_UNIFIED_AUDIT_POLICY, please create one using the CREATE AUDIT POLICY statement."
6.2.11,Ensure the 'DROP PROFILE' Action Audit Is Enabled (Scored),"Oracle database profiles are used to enforce resource usage limits and implement password policies such as password complexity rules and reuse restrictions. Enabling this unified action audit enables logging of all DROP PROFILE statements, whether successful or unsuccessful, issued by the users regardless of the privileges held by the users to issue such statements.",No results found,FAIL,"Execute the following SQL statement to remediate this setting.

 ALTER AUDIT POLICY CIS_UNIFIED_AUDIT_POLICY ADD ACTIONS DROP PROFILE;

Note: If you do not have CIS_UNIFIED_AUDIT_POLICY, please create one using the CREATE AUDIT POLICY statement."
6.2.12,Ensure the 'CREATE DATABASE LINK' Action Audit Is Enabled (Scored),"Oracle database links are used to establish database-to-database connections to other databases. These connections are available without further authentication once the link is established. Enabling this unified action audit causes logging of all CREATE DATABASE and CREATE PUBLIC DATABASE statements, whether successful or unsuccessful, issued by the users regardless of the privileges held by the users to issue such statements.",No results found,FAIL,"Execute the following SQL statement to remediate this setting. 

ALTER AUDIT POLICY CIS_UNIFIED_AUDIT_POLICY ADD ACTIONS CREATE DATABASE LINK; 

Note: If you do not have CIS_UNIFIED_AUDIT_POLICY, please create one using the CREATE AUDIT POLICY statement."
6.2.13,Ensure the 'ALTER DATABASE LINK' Action Audit Is Enabled (Scored),"Oracle database links are used to establish database-to-database connections to other databases. These connections are always available without further authentication once the link is established. Enabling this unified action audit causes logging of all ALTER DATABASE and ALTER PUBLIC DATABASE statements, whether successful or unsuccessful, issued by the users regardless of the privileges held by the users to issue such statements.",No results found,FAIL,"Execute the following SQL statement to remediate this setting.

 ALTER AUDIT POLICY CIS_UNIFIED_AUDIT_POLICY ADD ACTIONS ALTER DATABASE LINK;

Note: If you do not have CIS_UNIFIED_AUDIT_POLICY, please create one using the CREATE AUDIT POLICY statement."
6.2.14,Ensure the 'DROP DATABASE LINK' Action Audit Is Enabled (Scored),"Oracle database links are used to establish database-to-database connections to other databases. These connections are always available without further authentication once the link is established. Enabling this unified action audit causes logging of all DROP DATABASE and DROP PUBLIC DATABASE, whether successful or unsuccessful, statements issued by the users regardless of the privileges held by the users to issue such statements.",No results found,FAIL,"Execute the following SQL statement to remediate this setting.

 ALTER AUDIT POLICY CIS_UNIFIED_AUDIT_POLICY ADD ACTIONS DROP DATABASE LINK; 

Note: If you do not have CIS_UNIFIED_AUDIT_POLICY, please create one using the CREATE AUDIT POLICY statement."
6.2.15,Ensure the 'CREATE SYNONYM' Action Audit Is Enabled (Scored),"An Oracle database synonym is used to create an alternative name for a database object such as table, view, procedure, java object or even another synonym, etc. Enabling this unified action audit causes logging of all CREATE SYNONYM and CREATE PUBLIC SYNONYM statements, whether successful or unsuccessful, issued by the users regardless of the privileges held by the users to issue such statements.",No results found,FAIL,"Execute the following SQL statement to remediate this setting. 

ALTER AUDIT POLICY CIS_UNIFIED_AUDIT_POLICY ADD ACTIONS CREATE SYNONYM;

Note: If you do not have CIS_UNIFIED_AUDIT_POLICY, please create one using the CREATE AUDIT POLICY statement."
6.2.16,Ensure the 'ALTER SYNONYM' Action Audit Is Enabled (Scored),"An Oracle database synonym is used to create an alternative name for a database object such as table, view, procedure, or java object, or even another synonym. Enabling this unified action audit causes logging of all ALTER SYNONYM and ALTER PUBLIC SYNONYM statements, whether successful or unsuccessful, issued by the users regardless of the privileges held by the users to issue such statements",No results found,FAIL,"Execute the following SQL statement to remediate this setting.

 ALTER AUDIT POLICY CIS_UNIFIED_AUDIT_POLICY ADD ACTIONS ALTER SYNONYM;

Note: If you do not have CIS_UNIFIED_AUDIT_POLICY, please create one using the CREATE AUDIT POLICY statement."
6.2.17,Ensure the 'DROP SYNONYM' Action Audit Is Enabled (Scored),"An Oracle database synonym is used to create an alternative name for a database object such as table, view, procedure, or java object, or even another synonym. Enabling his unified action audit causes logging of all DROP SYNONYM and DROP PUBLIC SYNONYM statements, whether successful or unsuccessful, issued by the users regardless of the privileges held by the users to issue such statements.",No results found,FAIL,"Execute the following SQL statement to remediate this setting.

 ALTER AUDIT POLICY CIS_UNIFIED_AUDIT_POLICY ADD ACTIONS DROP SYNONYM;

Note: If you do not have CIS_UNIFIED_AUDIT_POLICY, please create one using the CREATE AUDIT POLICY statement."
6.2.18,Ensure the 'SELECT ANY DICTIONARY' Privilege Audit Is Enabled (Scored),"The SELECT ANY DICTIONARY system privilege allows the user to view the definition of all schema objects in the database. It grants SELECT privileges on the data dictionary objects to the grantees, including SELECTon DBA_ views, V$ views, X$ views and underlying SYS tables such as TAB$ and OBJ$. This privilege also allows grantees to create stored objects such as procedures, packages and views on the underlying data dictionary objects. Please note that this privilege does not grant SELECT on tables with password hashes such as USER$, DEFAULT_PWD$, LINK$, and USER_HISTORY$. Enabling this audit causes logging of activities that exercise this privilege.",No results found,FAIL,"Execute the following SQL statement to remediate this setting.

ALTER AUDIT POLICY CIS_UNIFIED_AUDIT_POLICY ADD PRIVILEGES SELECT ANY DICTIONARY; 

Note: If you do not have CIS_UNIFIED_AUDIT_POLICY, please create one using the CREATE AUDIT POLICY statement."
6.2.19,Ensure the 'AUDSYS.AUD$UNIFIED' Access Audit Is Enabled (Scored),"The AUDSYS.AUD$UNIFIED holds audit trail records generated by the database. Enabling this audit action causes logging of all access attempts to the AUDSYS.AUD$UNIFIED, whether successful or unsuccessful, regardless of the privileges held by the users to issue such statements.",No results found,FAIL,"For Oracle 12.2 and above, execute the following SQL statement to remediate this setting. 

ALTER AUDIT POLICY CIS_UNIFIED_AUDIT_POLICY ADD ACTIONS ALL on AUDSYS.AUD$UNIFIED; Note:

 If you do not have CIS_UNIFIED_AUDIT_POLICY, please create one using the CREATE AUDIT POLICY statement."
6.2.20,Ensure the 'CREATE PROCEDURE/FUNCTION/PACKAGE/PACKAGE BODY' Action Audit Is Enabled (Scored),"Oracle database procedures, function, packages, and package bodies, which are stored within the database, are created to perform business functions and access database as defined by PL/SQL code and SQL statements contained within these objects. Enabling this unified action audit causes logging of all CREATE PROCEDURE, CREATE FUNCTION, CREATE PACKAGE and CREATE PACKAGE BODY statements, successful or unsuccessful, statements issued by the users regardless of the privileges held by the users to issue such statements.",No results found,FAIL,"Execute the following SQL statement to remediate this setting.

 ALTER AUDIT POLICY CIS_UNIFIED_AUDIT_POLICY ADD ACTIONS CREATE PROCEDURE, CREATE FUNCTION, CREATE PACKAGE, CREATE PACKAGE BODY;

 Note: If you do not have CIS_UNIFIED_AUDIT_POLICY, please create one using the CREATE AUDIT POLICY statement."
6.2.21,Ensure the 'ALTER PROCEDURE/FUNCTION/PACKAGE/PACKAGE BODY' Action Audit Is Enabled (Scored),"Oracle database procedures, functions, packages, and package bodies, which are stored within the database, are created to carry out business functions and access database as defined by PL/SQL code and SQL statements contained within these objects. Enabling this unified action audit causes logging of all ALTER PROCEDURE, ALTER FUNCTION, ALTER PACKAGE and ALTER PACKAGE BODY statements, successful or unsuccessful, issued by the users regardless of the privileges held by the users to issue such statements.",No results found,FAIL,"Execute the following SQL statement to remediate this setting. 

ALTER AUDIT POLICY CIS_UNIFIED_AUDIT_POLICY ADD ACTIONS ALTER PROCEDURE, ALTER FUNCTION, ALTER PACKAGE, ALTER PACKAGE BODY;

 Note: If you do not have CIS_UNIFIED_AUDIT_POLICY, please create one using the CREATE AUDIT POLICY statement."
6.2.22,Ensure the 'DROP PROCEDURE/FUNCTION/PACKAGE/PACKAGE BODY' Action Audit Is Enabled (Scored),"Oracle database procedures, functions, packages, and package bodies, which are stored within the database, are created to carry out business functions and access database as defined by PL/SQL code and SQL statements contained within these objects. Enabling this unified action audit causes logging of all DROP PROCEDURE, DROP FUNCTION, DROP PACKAGE or DROP PACKAGE BODY statements, successful or unsuccessful, issued by the users regardless of the privileges held by the users to issue such statements.",No results found,FAIL,"Execute the following SQL statement to remediate this setting. 

ALTER AUDIT POLICY CIS_UNIFIED_AUDIT_POLICY ADD ACTIONS DROP PROCEDURE, DROP FUNCTION, DROP PACKAGE, DROP PACKAGE BODY; 

Note: If you do not have CIS_UNIFIED_AUDIT_POLICY, please create one using the CREATE AUDIT POLICY statement."
6.2.23,Ensure the 'ALTER SYSTEM' Privilege Audit Is Enabled (Scored),"The ALTER SYSTEM privilege allows the user to change instance settings which could impact security posture, performance or normal operation of the database. Additionally, the ALTER SYSTEM privilege may be used to run operating system commands using undocumented Oracle functionality. Enabling this unified audit causes logging of activities that involve exercise of this privilege, whether successful or unsuccessful, issued by the users regardless of the privileges held by the users to issue such statements.",No results found,FAIL,"Execute the following SQL statement to remediate this setting.

 ALTER AUDIT POLICY CIS_UNIFIED_AUDIT_POLICY ADD ACTIONS ALTER SYSTEM;

Note: If you do not have CIS_UNIFIED_AUDIT_POLICY, please create one using the CREATE AUDIT POLICY statement."
6.2.24,Ensure the 'CREATE TRIGGER' Action Audit Is Enabled (Scored),"Oracle database triggers are executed automatically when specified conditions on the underlying objects occur. Trigger bodies contain the code, quite often to perform data validation, ensure data integrity/security or enforce critical constraints on allowable actions on data. Enabling this unified audit causes logging of all CREATE TRIGGER statements, whether successful or unsuccessful, issued by the users regardless of the privileges held by the users to issue such statements.",No results found,FAIL,"Execute the following SQL statement to remediate this setting. 

ALTER AUDIT POLICY CIS_UNIFIED_AUDIT_POLICY ADD ACTIONS CREATE TRIGGER;

Note: If you do not have CIS_UNIFIED_AUDIT_POLICY, please create one using the CREATE AUDIT POLICY statement."
