audit_id,audit_name,audit_description,audit_remediation,check
1.6.3,Ensure system wide crypto policy is not set in sshd configuration,"
System-wide Crypto policy can be over-ridden or opted out of for openSSH
","
Run the following commands:
# sed -ri ""s/^\s*(CRYPTO_POLICY\s*=.*)$/# \1/"" /etc/sysconfig/ssh
# systemctl reload sshd
",,TRUE
1.6.4,Ensure system wide crypto policy disables sha1 hash and signature support,"
SHA-1 (Secure Hash Algorithm) is a cryptographic hash function that produces a 160 bit
hash value.
","
Note:
• The commands below are written for the included DEFAULT system-wide crypto
policy. If another policy is in use and follows local site policy, replace DEFAULT
with the name of your system-wide crypto policy.
• Multiple subpolicies may be assigned to a policy as a colon separated list. e.g.
DEFAULT:NO-SHA1:NO-SSHCBC
• Subpolicies:
o Not included in the update-crypto-policies --set command will not
be applied to the system wide crypto policy.
o must exist before they can be applied to the system wide crypto policy.
o .pmod file filenames must be in all upper case, upper case, e.g. NO-
SHA1.pmod, or they will not be read by the update-crypto-policies --
set command.
Create or edit a file in /etc/crypto-policies/policies/modules/ ending in .pmod
and add or modify the following lines:
hash = -SHA1
sign = -*-SHA1
sha1_in_certs = 0
Example:
# printf '%s\n' ""# This is a subpolicy dropping the SHA1 hash and signature
support"" ""hash = -SHA1"" ""sign = -*-SHA1"" ""sha1_in_certs = 0"" >> /etc/crypto-
policies/policies/modules/NO-SHA1.pmod
Run the following command to update the system-wide cryptographic policy
# update-crypto-policies --set
<CRYPTO_POLICY>:<CRYPTO_SUBPOLICY1>:<CRYPTO_SUBPOLICY2>:<CRYPTO_SUBPOLICY3>
Example:
update-crypto-policies --set DEFAULT:NO-SHA1
Run the following command to reboot the system to make your cryptographic settings
effective for already running services and applications:
# reboot
",,TRUE
1.6.5,Ensure system wide crypto policy disables macs less than 128 bits,"
Message Authentication Code (MAC) algorithm is a family of cryptographic functions
that is parameterized by a symmetric key. Each of the functions can act on input data
(called a “message”) of variable length to produce an output value of a specified length.
The output value is called the MAC of the input message.
A MAC algorithm can be used to provide data-origin authentication and data-integrity
protection
","
Note:
• The commands below are written for the included DEFAULT system-wide crypto
policy. If another policy is in use and follows local site policy, replace DEFAULT
with the name of your system-wide crypto policy.
• Multiple subpolicies may be assigned to a policy as a colon separated list. e.g.
DEFAULT:NO-SHA1:NO-SSHCBC
• Subpolicies:
o Not included in the update-crypto-policies --set command will not
be applied to the system wide crypto policy.
o must exist before they can be applied to the system wide crypto policy.
o .pmod file filenames must be in all upper case, upper case, e.g. NO-
WEAKMAC.pmod, or they will not be read by the update-crypto-policies
--set command.
Create or edit a file in /etc/crypto-policies/policies/modules/ ending in .pmod
and add or modify one of the following lines:
mac = -*-128* # Disables weak macs
Example:
# printf '%s\n' ""# This is a subpolicy to disable weak macs"" ""mac = -*-128""
>> /etc/crypto-policies/policies/modules/NO-WEAKMAC.pmod
Run the following command to update the system-wide cryptographic policy
# update-crypto-policies --set
<CRYPTO_POLICY>:<CRYPTO_SUBPOLICY1>:<CRYPTO_SUBPOLICY2>:<CRYPTO_SUBPOLICY3>
Example:
update-crypto-policies --set DEFAULT:NO-SHA1:NO-WEAKMAC
Run the following command to reboot the system to make your cryptographic settings
effective for already running services and applications:
# reboot
",,TRUE
1.6.6,Ensure system wide crypto policy disables cbc for ssh,"
Cypher Block Chaining (CBC) is an algorithm that uses a block cipher.
","
Note:
• The commands below are written for the included DEFAULT system-wide crypto
policy. If another policy is in use and follows local site policy, replace DEFAULT
with the name of your system-wide crypto policy.
• CBC can be turned off globally by using the argument cipher opposed to
cipher@SSH
• Multiple subpolicies may be assigned to a policy as a colon separated list. e.g.
DEFAULT:NO-SHA1:NO-SSHCBC
• Subpolicies:
o Not included in the update-crypto-policies --set command will not
be applied to the system wide crypto policy.
o must exist before they can be applied to the system wide crypto policy.
o .pmod file filenames must be in all upper case, upper case, e.g. NO-
SSHCBC.pmod, or they will not be read by the update-crypto-policies
--set command.
Create or edit a file in /etc/crypto-policies/policies/modules/
ending in .pmod and add or modify one of the the following lines:
cipher@SSH = -*-CBC # Disables the CBC cipher for SSH
Example:
# printf '%s\n' ""# This is a subpolicy to disable all CBC mode ciphers"" ""#
for the SSH protocol (libssh and OpenSSH)"" ""cipher@SSH = -*-CBC"" >>
/etc/crypto-policies/policies/modules/NO-SSHCBC.pmod
Run the following command to update the system-wide cryptographic policy
# update-crypto-policies --set
<CRYPTO_POLICY>:<CRYPTO_SUBPOLICY1>:<CRYPTO_SUBPOLICY2>:<CRYPTO_SUBPOLICY3>
Example:
update-crypto-policies --set DEFAULT:NO-SHA1:NO-WEAKMAC:NO-SSHCBC
Run the following command to reboot the system to make your cryptographic settings
effective for already running services and applications:
# reboot
",,TRUE
1.6.7,Ensure system wide crypto policy disables chacha20-poly1305 for ssh,"
ChaCha20-Poly1305 is an authenticated encryption with additional data (AEAD)
algorithm, that combines the ChaCha20 stream cipher with the Poly1305 message
authentication code. Its usage in IETF protocols is standardized in RFC 8439.
","
Note:
• The commands below are written for the included DEFAULT system-wide crypto
policy. If another policy is in use and follows local site policy, replace DEFAULT
with the name of your system-wide crypto policy.
• chacha20-poly1305 can be turned off globally by using the argument cipher
opposed to cipher@SSH
• Multiple subpolicies may be assigned to a policy as a colon separated list. e.g.
DEFAULT:NO-SHA1:NO-SSHCBC
• Subpolicies:
o Not included in the update-crypto-policies --set command will not
be applied to the system wide crypto policy.
o must exist before they can be applied to the system wide crypto policy.
o .pmod file filenames must be in all upper case, upper case, e.g. NO-
SSHCHACHA20.pmod, or they will not be read by the update-crypto-
policies --set command.
- IF - CVE-2023-48795 has been addressed, and it meets local site policy, this
recommendation may be skipped.
Create or edit a file in /etc/crypto-policies/policies/modules/ ending in .pmod
and add or modify one of the the following lines:
cipher@SSH = -CHACHA20-POLY1305 # Disables the chacha20-poly1305 cipher for
SSH
Example:
# printf '%s\n' ""# This is a subpolicy to disable the chacha20-poly1305
ciphers"" ""# for the SSH protocol (libssh and OpenSSH)"" ""cipher@SSH = -
CHACHA20-POLY1305"" >> /etc/crypto-policies/policies/modules/NO-
SSHCHACHA20.pmod
Run the following command to update the system-wide cryptographic policy
# update-crypto-policies --set
<CRYPTO_POLICY>:<CRYPTO_SUBPOLICY1>:<CRYPTO_SUBPOLICY2>:<CRYPTO_SUBPOLICY3>
Example:
# update-crypto-policies --set DEFAULT:NO-SHA1:NO-WEAKMAC:NO-SSHCBC:NO-
SSHCHACHA20
Run the following command to reboot the system to make your cryptographic settings
effective for already running services and applications:
# reboot
",,TRUE
1.7.1,Ensure /etc/motd is configured,"
The contents of the /etc/motd file are displayed to users after login and function as a
message of the day for authenticated users.

Unix-based systems have typically displayed information about the OS release and
patch level upon logging in to the system. This information can be useful to developers
who are developing software for a particular OS platform. If mingetty(8) supports the
following options, they display operating system information: \m - machine architecture
\r - operating system release \s - operating system name \v - operating system
version
","
Edit the file found in /etc/motd.d/* with the appropriate contents according to your
site policy, remove any instances of \m , \r , \s , \v or references to the OS platform
- OR -
- IF - the motd is not used, this file can be removed.
Run the following command to remove the motd file:
# rm /etc/motd
Run the following script and review and/or update all returned files' contents to:
• Remove all system information (\v, \r; \m, \s)
• Remove any refence to the operating system
• Ensure contents follow local site policy
#!/usr/bin/env bash
{
a_files=()
for l_file in /etc/motd{,.d/*}; do
if grep -Psqi -- ""(\\\v|\\\r|\\\m|\\\s|\b$(grep ^ID= /etc/os-release |
cut -d= -f2 | sed -e 's/""//g')\b)"" ""$l_file""; then
echo -e ""\n - File: \""$l_file\"" includes system information. Edit
this file to remove these entries""
else
a_files+=(""$l_file"")
fi
done
if [ ""${#a_files[@]}"" -gt 0 ]; then
echo -e ""\n- ** Please review the following files and verify their
contents follow local site policy **\n""
printf '%s\n' ""${a_files[@]}""
fi
}
",,TRUE
1.7.2,Ensure /etc/issue is configured,"
The contents of the /etc/issue file are displayed to users prior to login for local
terminals.

Unix-based systems have typically displayed information about the OS release and
patch level upon logging in to the system. This information can be useful to developers
who are developing software for a particular OS platform. If mingetty(8) supports the
following options, they display operating system information: \m - machine architecture
\r - operating system release \s - operating system name \v - operating system
version - or the operating system's name
","
Edit the /etc/issue file with the appropriate contents according to your site policy,
remove any instances of \m , \r , \s , \v or references to the OS platform
Example:
# echo ""Authorized users only. All activity may be monitored and reported."" >
/etc/issue
",,TRUE
1.7.3,Ensure /etc/issue.net is configured,"
The contents of the /etc/issue.net file are displayed to users prior to login for remote
connections from configured services.
Unix-based systems have typically displayed information about the OS release and
patch level upon logging in to the system. This information can be useful to developers
who are developing software for a particular OS platform. If mingetty(8) supports the
following options, they display operating system information: \m - machine architecture
\r - operating system release \s - operating system name \v - operating system
version
","
Edit the /etc/issue.net file with the appropriate contents according to your site policy,
remove any instances of \m , \r , \s , \v or references to the OS platform
Example:
# echo ""Authorized users only. All activity may be monitored and reported."" >
/etc/issue.net
",,TRUE
1.7.4,Ensure access to /etc/motd is configured,"
The contents of the /etc/motd file are displayed to users after login and function as a
message of the day for authenticated users.
","
Run the following commands to set mode, owner, and group on /etc/motd:
# chown root:root $(readlink -e /etc/motd)
# chmod u-x,go-wx $(readlink -e /etc/motd)
- OR -
Run the following command to remove the /etc/motd file:
# rm /etc/motd
",,TRUE
1.7.5,Ensure access to /etc/issue is configured,"
The contents of the /etc/issue file are displayed to users prior to login for local
terminals.
","
Run the following commands to set mode, owner, and group on /etc/issue:
# chown root:root $(readlink -e /etc/issue)
# chmod u-x,go-wx $(readlink -e /etc/issue)
Default Value:
Access: (0644/-rw-r--r--) Uid: ( 0/ root) Gid: ( 0/ root)
",,TRUE
1.7.6,Ensure access to /etc/issue.net is configured,"
The contents of the /etc/issue.net file are displayed to users prior to login for remote
connections from configured services.
","
Run the following commands to set mode, owner, and group on /etc/issue.net:
# chown root:root $(readlink -e /etc/issue.net)
# chmod u-x,go-wx $(readlink -e /etc/issue.net)
Default Value:
Access: (0644/-rw-r--r--) Uid: ( 0/ root) Gid: ( 0/ root)
",,TRUE
1.8.1,Ensure GNOME Display Manager is removed,"
The GNOME Display Manager (GDM) is a program that manages graphical display
servers and handles graphical user logins.
","
Run the following command to remove the gdm package
# zypper remove gdm
",,TRUE
1.8.2,Ensure GDM login banner is configured,"
GDM is the GNOME Display Manager which handles graphical login for GNOME based
systems.
","
Run the following script to verify that the banner message is enabled and set:
#!/usr/bin/env bash
{
l_pkgoutput=""""
if command -v dpkg-query > /dev/null 2>&1; then
l_pq=""dpkg-query -W""
elif command -v rpm > /dev/null 2>&1; then
l_pq=""rpm -q""
fi
l_pcl=""gdm gdm3"" # Space separated list of packages to check
for l_pn in $l_pcl; do
$l_pq ""$l_pn"" > /dev/null 2>&1 && l_pkgoutput=""$l_pkgoutput\n -
Package: \""$l_pn\"" exists on the system\n - checking configuration""
done
if [ -n ""$l_pkgoutput"" ]; then
l_gdmprofile=""gdm"" # Set this to desired profile name IaW Local site
policy
l_bmessage=""'Authorized uses only. All activity may be monitored and
reported'"" # Set to desired banner message
if [ ! -f ""/etc/dconf/profile/$l_gdmprofile"" ]; then
echo ""Creating profile \""$l_gdmprofile\""""
echo -e ""user-db:user\nsystem-db:$l_gdmprofile\nfile-
db:/usr/share/$l_gdmprofile/greeter-dconf-defaults"" >
/etc/dconf/profile/$l_gdmprofile
fi
if [ ! -d ""/etc/dconf/db/$l_gdmprofile.d/"" ]; then
echo ""Creating dconf database directory
\""/etc/dconf/db/$l_gdmprofile.d/\""""
mkdir /etc/dconf/db/$l_gdmprofile.d/
fi
if ! grep -Piq '^\h*banner-message-enable\h*=\h*true\b'
/etc/dconf/db/$l_gdmprofile.d/*; then
echo ""creating gdm keyfile for machine-wide settings""
if ! grep -Piq -- '^\h*banner-message-enable\h*=\h*'
/etc/dconf/db/$l_gdmprofile.d/*; then
l_kfile=""/etc/dconf/db/$l_gdmprofile.d/01-banner-message""
echo -e ""\n[org/gnome/login-screen]\nbanner-message-enable=true""
>> ""$l_kfile""
else
l_kfile=""$(grep -Pil -- '^\h*banner-message-enable\h*=\h*'
/etc/dconf/db/$l_gdmprofile.d/*)""
! grep -Pq '^\h*\[org\/gnome\/login-screen\]' ""$l_kfile"" && sed -
ri '/^\s*banner-message-enable/ i\[org/gnome/login-screen]' ""$l_kfile""
! grep -Pq '^\h*banner-message-enable\h*=\h*true\b' ""$l_kfile"" &&
sed -ri 's/^\s*(banner-message-enable\s*=\s*)(\S+)(\s*.*$)/\1true \3//'
""$l_kfile""
# sed -ri '/^\s*\[org\/gnome\/login-screen\]/ a\\nbanner-message-
enable=true' ""$l_kfile""
fi
fi
if ! grep -Piq ""^\h*banner-message-text=[\'\""]+\S+"" ""$l_kfile""; then
sed -ri ""/^\s*banner-message-enable/ a\banner-message-
text=$l_bmessage"" ""$l_kfile""
fi
dconf update
else
echo -e ""\n\n - GNOME Desktop Manager isn't installed\n -
Recommendation is Not Applicable\n - No remediation required\n""
fi
}
Note:
• There is no character limit for the banner message. gnome-shell autodetects
longer stretches of text and enters two column mode.
• The banner message cannot be read from an external file.
- OR -
Run the following command to remove the gdm package:
# zypper remove gdm
Default Value:
disabled
",,TRUE
1.8.3,Ensure GDM disable-user-list option is enabled,"
GDM is the GNOME Display Manager which handles graphical login for GNOME based
systems.
The disable-user-list option controls if a list of users is displayed on the login
screen
","
Run the following script to enable the disable-user-list option:
Note: the l_gdm_profile variable in the script can be changed if a different profile
name is desired in accordance with local site policy.
#!/usr/bin/env bash
{
l_gdmprofile=""gdm""
if [ ! -f ""/etc/dconf/profile/$l_gdmprofile"" ]; then
echo ""Creating profile \""$l_gdmprofile\""""
echo -e ""user-db:user\nsystem-db:$l_gdmprofile\nfile-
db:/usr/share/$l_gdmprofile/greeter-dconf-defaults"" >
/etc/dconf/profile/$l_gdmprofile
fi
if [ ! -d ""/etc/dconf/db/$l_gdmprofile.d/"" ]; then
echo ""Creating dconf database directory
\""/etc/dconf/db/$l_gdmprofile.d/\""""
mkdir /etc/dconf/db/$l_gdmprofile.d/
fi
if ! grep -Piq '^\h*disable-user-list\h*=\h*true\b'
/etc/dconf/db/$l_gdmprofile.d/*; then
echo ""creating gdm keyfile for machine-wide settings""
if ! grep -Piq -- '^\h*\[org\/gnome\/login-screen\]'
/etc/dconf/db/$l_gdmprofile.d/*; then
echo -e ""\n[org/gnome/login-screen]\n# Do not show the user
list\ndisable-user-list=true"" >> /etc/dconf/db/$l_gdmprofile.d/00-login-
screen
else
sed -ri '/^\s*\[org\/gnome\/login-screen\]/ a\# Do not show the user
list\ndisable-user-list=true' $(grep -Pil -- '^\h*\[org\/gnome\/login-
screen\]' /etc/dconf/db/$l_gdmprofile.d/*)
fi
fi
dconf update
}
Note: When the user profile is created or changed, the user will need to log out and log
in again before the changes will be applied.
- OR -
Run the following command to remove the GNOME package:
# zypper remove gdm
Default Value:
false
",,TRUE
1.8.4,Ensure GDM screen locks when the user is idle,"
GNOME Desktop Manager can make the screen lock automatically whenever the user
is idle for some amount of time.
• idle-delay=uint32 {n} - Number of seconds of inactivity before the screen
goes blank
• lock-delay=uint32 {n} - Number of seconds after the screen is blank before
locking the screen
Example key file:
# Specify the dconf path
[org/gnome/desktop/session]
# Number of seconds of inactivity before the screen goes blank
# Set to 0 seconds if you want to deactivate the screensaver.
idle-delay=uint32 900
# Specify the dconf path
[org/gnome/desktop/screensaver]
# Number of seconds after the screen is blank before locking the screen
lock-delay=uint32 5
","
Create or edit a file in the /etc/dconf/profile/ and verify it includes the following:
user-db:user
system-db:{NAME_OF_DCONF_DATABASE}
Note: local is the name of a dconf database used in the examples.
Example:
# echo -e '\nuser-db:user\nsystem-db:local' >> /etc/dconf/profile/user
Create the directory /etc/dconf/db/{NAME_OF_DCONF_DATABASE}.d/ if it doesn't
already exist:
Example:
# mkdir /etc/dconf/db/local.d
Create the key file /etc/dconf/db/{NAME_OF_DCONF_DATABASE}.d/{FILE_NAME} to
provide information for the {NAME_OF_DCONF_DATABASE} database:
Example script:
#!/usr/bin/env bash
{
l_key_file=""/etc/dconf/db/local.d/00-screensaver""
l_idmv=""900"" # Set max value for idle-delay in seconds (between 1 and 900)
l_ldmv=""5"" # Set max value for lock-delay in seconds (between 0 and 5)
{
echo '# Specify the dconf path'
echo '[org/gnome/desktop/session]'
echo ''
echo '# Number of seconds of inactivity before the screen goes blank'
echo '# Set to 0 seconds if you want to deactivate the screensaver.'
echo ""idle-delay=uint32 $l_idmv""
echo ''
echo '# Specify the dconf path'
echo '[org/gnome/desktop/screensaver]'
echo ''
echo '# Number of seconds after the screen is blank before locking the
screen'
echo ""lock-delay=uint32 $l_ldmv""
} > ""$l_key_file""
}
Note: You must include the uint32 along with the integer key values as shown.
Run the following command to update the system databases:
# dconf update
Note: Users must log out and back in again before the system-wide settings take effect.
",,TRUE
1.8.5,Ensure GDM screen locks cannot be overridden,"
GNOME Desktop Manager can make the screen lock automatically whenever the user
is idle for some amount of time.
By using the lockdown mode in dconf, you can prevent users from changing specific
settings.
To lock down a dconf key or subpath, create a locks subdirectory in the keyfile directory.
The files inside this directory contain a list of keys or subpaths to lock. Just as with the
keyfiles, you may add any number of files to this directory.
Example Lock File:
# Lock desktop screensaver settings
/org/gnome/desktop/session/idle-delay
/org/gnome/desktop/screensaver/lock-delay
","
Run the following script to ensure screen locks cannot be overridden:
#!/usr/bin/env bash
{
# Check if GNMOE Desktop Manager is installed. If package isn't
installed, recommendation is Not Applicable\n
# determine system's package manager
l_pkgoutput=""""
if command -v dpkg-query > /dev/null 2>&1; then
l_pq=""dpkg-query -W""
elif command -v rpm > /dev/null 2>&1; then
l_pq=""rpm -q""
fi
# Check if GDM is installed
l_pcl=""gdm gdm3"" # Space separated list of packages to check
for l_pn in $l_pcl; do
$l_pq ""$l_pn"" > /dev/null 2>&1 && l_pkgoutput=""y"" && echo -e ""\n -
Package: \""$l_pn\"" exists on the system\n - remediating configuration if
needed""
done
# Check configuration (If applicable)
if [ -n ""$l_pkgoutput"" ]; then
# Look for idle-delay to determine profile in use, needed for remaining
tests
l_kfd=""/etc/dconf/db/$(grep -Psril '^\h*idle-
delay\h*=\h*uint32\h+\d+\b' /etc/dconf/db/*/ | awk -F'/' '{split($(NF-
1),a,""."");print a[1]}').d"" #set directory of key file to be locked
# Look for lock-delay to determine profile in use, needed for remaining
tests
l_kfd2=""/etc/dconf/db/$(grep -Psril '^\h*lock-
delay\h*=\h*uint32\h+\d+\b' /etc/dconf/db/*/ | awk -F'/' '{split($(NF-
1),a,""."");print a[1]}').d"" #set directory of key file to be locked
if [ -d ""$l_kfd"" ]; then # If key file directory doesn't exist, options
can't be locked
if grep -Prilq '^\h*\/org\/gnome\/desktop\/session\/idle-delay\b'
""$l_kfd""; then
echo "" - \""idle-delay\"" is locked in \""$(grep -Pril
'^\h*\/org\/gnome\/desktop\/session\/idle-delay\b' ""$l_kfd"")\""""
else
echo ""creating entry to lock \""idle-delay\""""
[ ! -d ""$l_kfd""/locks ] && echo ""creating directory $l_kfd/locks""
&& mkdir ""$l_kfd""/locks
{
echo -e '\n# Lock desktop screensaver idle-delay setting'
echo '/org/gnome/desktop/session/idle-delay'
} >> ""$l_kfd""/locks/00-screensaver
fi
else
echo -e "" - \""idle-delay\"" is not set so it can not be locked\n -
Please follow Recommendation \""Ensure GDM screen locks when the user is
idle\"" and follow this Recommendation again""
fi
if [ -d ""$l_kfd2"" ]; then # If key file directory doesn't exist,
options can't be locked
if grep -Prilq '^\h*\/org\/gnome\/desktop\/screensaver\/lock-
delay\b' ""$l_kfd2""; then
echo "" - \""lock-delay\"" is locked in \""$(grep -Pril
'^\h*\/org\/gnome\/desktop\/screensaver\/lock-delay\b' ""$l_kfd2"")\""""
else
echo ""creating entry to lock \""lock-delay\""""
[ ! -d ""$l_kfd2""/locks ] && echo ""creating directory
$l_kfd2/locks"" && mkdir ""$l_kfd2""/locks
{
echo -e '\n# Lock desktop screensaver lock-delay setting'
echo '/org/gnome/desktop/screensaver/lock-delay'
} >> ""$l_kfd2""/locks/00-screensaver
fi
else
echo -e "" - \""lock-delay\"" is not set so it can not be locked\n -
Please follow Recommendation \""Ensure GDM screen locks when the user is
idle\"" and follow this Recommendation again""
fi
else
echo -e "" - GNOME Desktop Manager package is not installed on the
system\n - Recommendation is not applicable""
fi
}
Run the following command to update the system databases:
# dconf update
Note: Users must log out and back in again before the system-wide settings take effect.
",,TRUE
1.8.6,Ensure GDM automatic mounting of removable media is disabled,"
By default GNOME automatically mounts removable media when inserted as a
convenience to the user.
","
Run the following script to disable automatic mounting of media for all GNOME users:
#!/usr/bin/env bash
{
l_pkgoutput=""""
l_gpname=""local"" # Set to desired dconf profile name (default is local)
# Check if GNOME Desktop Manager is installed. If package isn't
installed, recommendation is Not Applicable\n
# determine system's package manager
if command -v dpkg-query > /dev/null 2>&1; then
l_pq=""dpkg-query -W""
elif command -v rpm > /dev/null 2>&1; then
l_pq=""rpm -q""
fi
# Check if GDM is installed
l_pcl=""gdm gdm3"" # Space separated list of packages to check
for l_pn in $l_pcl; do
$l_pq ""$l_pn"" > /dev/null 2>&1 && l_pkgoutput=""$l_pkgoutput\n -
Package: \""$l_pn\"" exists on the system\n - checking configuration""
done
# Check configuration (If applicable)
if [ -n ""$l_pkgoutput"" ]; then
echo -e ""$l_pkgoutput""
# Look for existing settings and set variables if they exist
l_kfile=""$(grep -Prils -- '^\h*automount\b' /etc/dconf/db/*.d)""
l_kfile2=""$(grep -Prils -- '^\h*automount-open\b' /etc/dconf/db/*.d)""
# Set profile name based on dconf db directory ({PROFILE_NAME}.d)
if [ -f ""$l_kfile"" ]; then
l_gpname=""$(awk -F\/ '{split($(NF-1),a,""."");print a[1]}' <<<
""$l_kfile"")""
echo "" - updating dconf profile name to \""$l_gpname\""""
elif [ -f ""$l_kfile2"" ]; then
l_gpname=""$(awk -F\/ '{split($(NF-1),a,""."");print a[1]}' <<<
""$l_kfile2"")""
echo "" - updating dconf profile name to \""$l_gpname\""""
fi
# check for consistency (Clean up configuration if needed)
if [ -f ""$l_kfile"" ] && [ ""$(awk -F\/ '{split($(NF-1),a,""."");print
a[1]}' <<< ""$l_kfile"")"" != ""$l_gpname"" ]; then
sed -ri ""/^\s*automount\s*=/s/^/# /"" ""$l_kfile""
l_kfile=""/etc/dconf/db/$l_gpname.d/00-media-automount""
fi
if [ -f ""$l_kfile2"" ] && [ ""$(awk -F\/ '{split($(NF-1),a,""."");print
a[1]}' <<< ""$l_kfile2"")"" != ""$l_gpname"" ]; then
sed -ri ""/^\s*automount-open\s*=/s/^/# /"" ""$l_kfile2""
fi
[ -z ""$l_kfile"" ] && l_kfile=""/etc/dconf/db/$l_gpname.d/00-media-
automount""
# Check if profile file exists
if grep -Pq -- ""^\h*system-db:$l_gpname\b"" /etc/dconf/profile/*; then
echo -e ""\n - dconf database profile exists in: \""$(grep -Pl --
""^\h*system-db:$l_gpname\b"" /etc/dconf/profile/*)\""""
else
if [ ! -f ""/etc/dconf/profile/user"" ]; then
l_gpfile=""/etc/dconf/profile/user""
else
l_gpfile=""/etc/dconf/profile/user2""
fi
echo -e "" - creating dconf database profile""
{
echo -e ""\nuser-db:user""
echo ""system-db:$l_gpname""
} >> ""$l_gpfile""
fi
# create dconf directory if it doesn't exists
l_gpdir=""/etc/dconf/db/$l_gpname.d""
if [ -d ""$l_gpdir"" ]; then
echo "" - The dconf database directory \""$l_gpdir\"" exists""
else
echo "" - creating dconf database directory \""$l_gpdir\""""
mkdir ""$l_gpdir""
fi
# check automount-open setting
if grep -Pqs -- '^\h*automount-open\h*=\h*false\b' ""$l_kfile""; then
echo "" - \""automount-open\"" is set to false in: \""$l_kfile\""""
else
echo "" - creating \""automount-open\"" entry in \""$l_kfile\""""
! grep -Psq -- '\^\h*\[org\/gnome\/desktop\/media-handling\]\b'
""$l_kfile"" && echo '[org/gnome/desktop/media-handling]' >> ""$l_kfile""
sed -ri '/^\s*\[org\/gnome\/desktop\/media-handling\]/a
\\nautomount-open=false' ""$l_kfile""
fi
# check automount setting
if grep -Pqs -- '^\h*automount\h*=\h*false\b' ""$l_kfile""; then
echo "" - \""automount\"" is set to false in: \""$l_kfile\""""
else
echo "" - creating \""automount\"" entry in \""$l_kfile\""""
! grep -Psq -- '\^\h*\[org\/gnome\/desktop\/media-handling\]\b'
""$l_kfile"" && echo '[org/gnome/desktop/media-handling]' >> ""$l_kfile""
sed -ri '/^\s*\[org\/gnome\/desktop\/media-handling\]/a
\\nautomount=false' ""$l_kfile""
fi
# update dconf database
dconf update
else
echo -e ""\n - GNOME Desktop Manager package is not installed on the
system\n - Recommendation is not applicable""
fi
}
- OR -
Run the following command to uninstall the GNOME desktop Manager package:
# zypper remove gdm
",,TRUE
